angular_smooth_k,angular_smooth_pop_quantile,angular_smooth_sim_threshold,angular_smooth_temperature,angular_smooth_weight,dataset,group,group_mode,hidden,max_len,mean_rank,median_rank,model,n,ndcg@10,ndcg@100,ndcg@20,ndcg@5,ndcg@50,recall@10,recall@100,recall@20,recall@5,recall@50,semantic_embedding_path,semantic_freeze,semantic_fusion_mode,semantic_gate,semantic_weight,tag,temperature
10,0.67,0.0,0.2,0.0,Beauty,all,global_item_tertile,256,50,2984.5633859500067,1427.0,SASRec,22363,0.03916810542611087,0.06693990873437083,0.046925922444049445,0.03144116064526287,0.058064181134367204,0.07695747439967804,0.21906720922953093,0.10785672763046103,0.05298931270402003,0.16433394446183427,,True,score,constant,0.1,Beauty_seed2024_SASRec,10.0
10,0.67,0.0,0.2,0.0,Beauty,head,global_item_tertile,256,50,1624.0515463917525,512.0,SASRec,12707,0.05651263996703254,0.09569633497645907,0.0678623304179204,0.04444078925758768,0.08380677744909018,0.11151333910443063,0.31069489257889354,0.15668529157157474,0.07405367120484772,0.23742818918706224,,True,score,constant,0.1,Beauty_seed2024_SASRec,10.0
10,0.67,0.0,0.2,0.0,Beauty,mid,global_item_tertile,256,50,3701.454697585465,2862.0,SASRec,4183,0.01822045429673346,0.03439080367503359,0.022233198556516197,0.015747312376333554,0.0281693291464485,0.034664116662682286,0.11953143676786995,0.05068132918957686,0.02701410470953861,0.08104231412861583,,True,score,constant,0.1,Beauty_seed2024_SASRec,10.0
10,0.67,0.0,0.2,0.0,Beauty,tail,global_item_tertile,256,50,5398.7968542732615,5303.0,SASRec,5277,0.015462206795489639,0.025982019842373333,0.01782761065640627,0.013746173724397086,0.021929933265618876,0.030130756111426946,0.08546522645442486,0.03960583664961152,0.024824711010043587,0.06045101383361758,,True,score,constant,0.1,Beauty_seed2024_SASRec,10.0
