angular_smooth_k,angular_smooth_pop_quantile,angular_smooth_sim_threshold,angular_smooth_temperature,angular_smooth_weight,dataset,group,group_mode,hidden,max_len,mean_rank,median_rank,model,n,ndcg@10,ndcg@100,ndcg@20,ndcg@5,ndcg@50,recall@10,recall@100,recall@20,recall@5,recall@50,semantic_embedding_path,semantic_freeze,semantic_fusion_mode,semantic_gate,semantic_weight,tag,temperature
10,0.67,0.0,0.2,0.0,Beauty,all,global_item_tertile,256,50,2743.851182757233,1063.0,CANDSSASRec,22363,0.04498658992411058,0.07766093873880014,0.05471041624032682,0.035413243905269925,0.06837164881909202,0.08773420381880785,0.2524705987568752,0.12636944953718196,0.05813173545588696,0.19514376425345437,,True,score,constant,0.1,Beauty_seed2024_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Beauty,head,global_item_tertile,256,50,1634.6442905485167,369.0,CANDSSASRec,12707,0.0684158537487339,0.11182040542280751,0.08201139212072579,0.054800097420539144,0.10033025313574201,0.13063665696073032,0.3476823797906666,0.18462264893365862,0.08845518218304871,0.2767765798378846,,True,score,constant,0.1,Beauty_seed2024_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Beauty,mid,global_item_tertile,256,50,3281.9440592875926,2182.0,CANDSSASRec,4183,0.01896957967678916,0.041562636136619036,0.02471036176919985,0.014800852915694475,0.033771090906257496,0.03920631125986134,0.15562993067176667,0.062156347119292375,0.02653597896246713,0.10757829309108295,,True,score,constant,0.1,Beauty_seed2024_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Beauty,tail,global_item_tertile,256,50,4738.631229865454,4310.0,CANDSSASRec,5277,0.010863199753593757,0.02690414522431211,0.01478242096338881,0.0063842273610783505,0.021382259367937553,0.026151222285389426,0.10934242941064999,0.04169035436801213,0.012317604699639948,0.07523213947318552,,True,score,constant,0.1,Beauty_seed2024_CANDSSASRec,10.0
