angular_smooth_k,angular_smooth_pop_quantile,angular_smooth_sim_threshold,angular_smooth_temperature,angular_smooth_weight,dataset,group,group_mode,hidden,max_len,mean_rank,median_rank,model,n,ndcg@10,ndcg@100,ndcg@20,ndcg@5,ndcg@50,recall@10,recall@100,recall@20,recall@5,recall@50,semantic_embedding_path,semantic_freeze,semantic_fusion_mode,semantic_gate,semantic_weight,tag,temperature
10,0.67,0.0,0.2,0.0,Beauty,all,global_item_tertile,256,50,2795.7875508652687,1115.0,CANDSSASRec,22363,0.04603643524538485,0.07826909088784519,0.056136695566169785,0.03611811677051011,0.069138950881177,0.08992532307829898,0.2518892814023163,0.130036220542861,0.05920493672584179,0.19550149801010597,,True,score,constant,0.1,Beauty_seed2025_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Beauty,head,global_item_tertile,256,50,1698.8953332808687,382.0,CANDSSASRec,12707,0.0692414080338692,0.11215335442349503,0.08335719403745705,0.05537909962359313,0.10042918700883639,0.13189580546155663,0.3463445345085386,0.18800661052962933,0.08892736287085858,0.27402219249232707,,True,score,constant,0.1,Beauty_seed2025_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Beauty,mid,global_item_tertile,256,50,3344.8575185273726,2260.0,CANDSSASRec,4183,0.020896720110508776,0.04251063075833344,0.026666501487913007,0.0162459591251034,0.035720625174921014,0.04398756873057614,0.15443461630408797,0.06693760459000717,0.029643796318431746,0.11235955056179775,,True,score,constant,0.1,Beauty_seed2025_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Beauty,tail,global_item_tertile,256,50,4757.61550123176,4362.0,CANDSSASRec,5277,0.011796712011352468,0.027928185788027665,0.016035452451837864,0.006831604965247705,0.022850351360201325,0.028614743225317416,0.11104794390752322,0.04529088497252227,0.013265112753458404,0.07959067652075043,,True,score,constant,0.1,Beauty_seed2025_CANDSSASRec,10.0
