angular_smooth_k,angular_smooth_pop_quantile,angular_smooth_sim_threshold,angular_smooth_temperature,angular_smooth_weight,dataset,group,group_mode,hidden,max_len,mean_rank,median_rank,model,n,ndcg@10,ndcg@100,ndcg@20,ndcg@5,ndcg@50,recall@10,recall@100,recall@20,recall@5,recall@50,semantic_embedding_path,semantic_freeze,semantic_fusion_mode,semantic_gate,semantic_weight,tag,temperature
10,0.67,0.0,0.2,0.0,Sports,all,global_item_tertile,256,50,3757.7188325186808,1530.0,CANDSSASRec,35598,0.027133971836787407,0.049695967047069384,0.03353284723847679,0.020921587296701776,0.04211071183421566,0.054694083937299846,0.17068374627788077,0.08028540929265689,0.03533906399235912,0.1237429069048823,,True,score,constant,0.1,Sports_seed2024_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Sports,head,global_item_tertile,256,50,2130.356721311475,602.0,CANDSSASRec,19825,0.043011617455107246,0.07571109387500558,0.052644016565046865,0.03335659591615274,0.06509023962243041,0.08585119798234553,0.25301387137452713,0.1242875157629256,0.05578814627994956,0.1872887767969735,,True,score,constant,0.1,Sports_seed2024_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Sports,mid,global_item_tertile,256,50,4207.929018181818,2498.0,CANDSSASRec,6875,0.011653515365649039,0.025211082708849607,0.014104987098097623,0.00861130259179409,0.019470552115132433,0.024436363636363638,0.09701818181818182,0.03418181818181818,0.014981818181818181,0.06152727272727273,,True,score,constant,0.1,Sports_seed2024_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Sports,tail,global_item_tertile,256,50,6665.5935879302215,5491.0,CANDSSASRec,8484,0.003900506277654398,0.011171429189798405,0.006254465027560277,0.0028606135350869215,0.008814600844906961,0.009075907590759076,0.04632248939179632,0.01874115983026874,0.005775577557755775,0.03170674210278171,,True,score,constant,0.1,Sports_seed2024_CANDSSASRec,10.0
