angular_smooth_k,angular_smooth_pop_quantile,angular_smooth_sim_threshold,angular_smooth_temperature,angular_smooth_weight,dataset,group,group_mode,hidden,max_len,mean_rank,median_rank,model,n,ndcg@10,ndcg@100,ndcg@20,ndcg@5,ndcg@50,recall@10,recall@100,recall@20,recall@5,recall@50,semantic_embedding_path,semantic_freeze,semantic_fusion_mode,semantic_gate,semantic_weight,tag,temperature
10,0.67,0.0,0.2,0.0,Sports,all,global_item_tertile,256,50,3883.3109163436147,1788.5,SASRec,35598,0.020290325491897167,0.040406468338334826,0.025758636388603533,0.01520105675116004,0.0336085353044249,0.04371032080453958,0.14717118939266252,0.06539693241193326,0.027810551154559243,0.10520253946850947,,True,score,constant,0.1,Sports_seed2024_SASRec,10.0
10,0.67,0.0,0.2,0.0,Sports,head,global_item_tertile,256,50,1956.330290037831,653.0,SASRec,19825,0.03166922843976379,0.06297394246080219,0.04042402680833496,0.023463061642263125,0.05276992693154357,0.0683984867591425,0.22870113493064312,0.10310214375788146,0.042774274905422446,0.1656998738965952,,True,score,constant,0.1,Sports_seed2024_SASRec,10.0
10,0.67,0.0,0.2,0.0,Sports,mid,global_item_tertile,256,50,4485.597527272727,2997.0,SASRec,6875,0.007902461663170058,0.016726607969347,0.009808687263687086,0.006385963736460446,0.01286546756732654,0.016436363636363638,0.06341818181818182,0.024,0.011636363636363636,0.03956363636363636,,True,score,constant,0.1,Sports_seed2024_SASRec,10.0
10,0.67,0.0,0.2,0.0,Sports,tail,global_item_tertile,256,50,7278.870108439415,6293.0,SASRec,8484,0.004729270286179173,0.008832581427791026,0.005671249616739649,0.003779882187855152,0.0072822664808694145,0.010254596888260255,0.03170674210278171,0.014026402640264026,0.007307873644507308,0.02215935879302216,,True,score,constant,0.1,Sports_seed2024_SASRec,10.0
