analysis,angular_win_rate_vs_dot_competitor,cands_checkpoint,cosine_mean_rank,cosine_median_rank,cosine_minus_dot_ndcg@10,cosine_minus_dot_ndcg@100,cosine_minus_dot_ndcg@20,cosine_minus_dot_ndcg@5,cosine_minus_dot_ndcg@50,cosine_minus_dot_recall@10,cosine_minus_dot_recall@100,cosine_minus_dot_recall@20,cosine_minus_dot_recall@5,cosine_minus_dot_recall@50,cosine_ndcg@10,cosine_ndcg@100,cosine_ndcg@20,cosine_ndcg@5,cosine_ndcg@50,cosine_recall@10,cosine_recall@100,cosine_recall@20,cosine_recall@5,cosine_recall@50,dataset,dot_mean_rank,dot_median_rank,dot_ndcg@10,dot_ndcg@100,dot_ndcg@20,dot_ndcg@5,dot_ndcg@50,dot_recall@10,dot_recall@100,dot_recall@20,dot_recall@5,dot_recall@50,group,head_competitor_rate,hidden_size,item_norm_pearson_logpop_all,item_norm_spearman_pop_all,max_item_list_length,mean_competitor_to_target_norm_ratio,mean_item_norm,mean_log1p_popularity,mean_seq_norm,mean_target_cos_minus_competitor_cos,median_item_norm,model,n,p90_item_norm,radial_displacement_rate,rank_recovery@10,rank_recovery@100,rank_recovery@20,rank_recovery@5,rank_recovery@50,rank_regression@10,rank_regression@100,rank_regression@20,rank_regression@5,rank_regression@50,sasrec_checkpoint,seed,temperature
item_norm_population,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/CANDSSASRec-Sep-08-2026_13-21-38.pth,,,,,,,,,,,,,,,,,,,,,,,Toys,,,,,,,,,,,,,all,,256,-0.7621455167450972,-0.7037303873843979,50,,1.1247749328613281,2.019897513523438,,,1.128692388534546,SASRec,11846,1.2935449481010437,,,,,,,,,,,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/SASRec-Sep-08-2026_13-21-39.pth,2025,10.0
item_norm_population,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/CANDSSASRec-Sep-08-2026_13-21-38.pth,,,,,,,,,,,,,,,,,,,,,,,Toys,,,,,,,,,,,,,head,,256,-0.7621455167450972,-0.7037303873843979,50,,1.0027899742126465,2.834129003557083,,,1.0018789768218994,SASRec,3949,1.1298099040985108,,,,,,,,,,,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/SASRec-Sep-08-2026_13-21-39.pth,2025,10.0
item_norm_population,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/CANDSSASRec-Sep-08-2026_13-21-38.pth,,,,,,,,,,,,,,,,,,,,,,,Toys,,,,,,,,,,,,,mid,,256,-0.7621455167450972,-0.7037303873843979,50,,1.1459593772888184,1.8873714111731565,,,1.1420294046401978,SASRec,3949,1.258402943611145,,,,,,,,,,,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/SASRec-Sep-08-2026_13-21-39.pth,2025,10.0
item_norm_population,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/CANDSSASRec-Sep-08-2026_13-21-38.pth,,,,,,,,,,,,,,,,,,,,,,,Toys,,,,,,,,,,,,,tail,,256,-0.7621455167450972,-0.7037303873843979,50,,1.225601077079773,1.3380194547692312,,,1.2228859663009644,SASRec,3948,1.3578671097755433,,,,,,,,,,,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/SASRec-Sep-08-2026_13-21-39.pth,2025,10.0
item_norm_population,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/CANDSSASRec-Sep-08-2026_13-21-38.pth,,,,,,,,,,,,,,,,,,,,,,,Toys,,,,,,,,,,,,,all,,256,-0.17595207286161949,-0.17245547406697198,50,,1.1022027730941772,2.019897513523438,,,1.103959560394287,CANDSSASRec,11846,1.188007414340973,,,,,,,,,,,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/SASRec-Sep-08-2026_13-21-39.pth,2025,10.0
item_norm_population,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/CANDSSASRec-Sep-08-2026_13-21-38.pth,,,,,,,,,,,,,,,,,,,,,,,Toys,,,,,,,,,,,,,head,,256,-0.17595207286161949,-0.17245547406697198,50,,1.086797833442688,2.834129003557083,,,1.0883532762527466,CANDSSASRec,3949,1.1772182703018188,,,,,,,,,,,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/SASRec-Sep-08-2026_13-21-39.pth,2025,10.0
item_norm_population,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/CANDSSASRec-Sep-08-2026_13-21-38.pth,,,,,,,,,,,,,,,,,,,,,,,Toys,,,,,,,,,,,,,mid,,256,-0.17595207286161949,-0.17245547406697198,50,,1.1065287590026855,1.8873714111731565,,,1.1074210405349731,CANDSSASRec,3949,1.1858125448226928,,,,,,,,,,,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/SASRec-Sep-08-2026_13-21-39.pth,2025,10.0
item_norm_population,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/CANDSSASRec-Sep-08-2026_13-21-38.pth,,,,,,,,,,,,,,,,,,,,,,,Toys,,,,,,,,,,,,,tail,,256,-0.17595207286161949,-0.17245547406697198,50,,1.1132842302322388,1.3380194547692312,,,1.1160303354263306,CANDSSASRec,3948,1.197861671447754,,,,,,,,,,,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/SASRec-Sep-08-2026_13-21-39.pth,2025,10.0
within_model_counterfactual,0.02199670299887657,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/CANDSSASRec-Sep-08-2026_13-21-38.pth,3170.3643622501545,1709.5,-0.0010595307313480823,-0.0007786806761753695,-0.0010459435557370542,-0.0003785029128004838,-0.000898905253776866,-0.0020090665567690097,-0.0006696888522563504,-0.001957552029672377,0.00015454358128992596,-0.0013908922316093197,0.0396921350522209,0.06293312128131244,0.04618096922485619,0.033271740744733005,0.05564527474014152,0.07031732948691531,0.18885225633628683,0.09602307850813929,0.05043272202761179,0.14382855965382238,Toys,3208.4146919431278,1708.0,0.04075166578356898,0.06371180195748781,0.047226912780593246,0.03365024365753349,0.056544179993918385,0.07232639604368432,0.18952194518854318,0.09798063053781167,0.05027817844632186,0.1452194518854317,all,0.5788687467575073,256,,,50,0.9940208792686462,,,30.89712905883789,-0.32793721556663513,,SASRec,19412,,0.009478673338890076,0.009839274920523167,0.015042241662740707,0.011693798005580902,0.009118071757256985,0.013805893249809742,0.011848341673612595,0.015711931511759758,0.01365134958177805,0.008963528089225292,0.0151967853307724,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/SASRec-Sep-08-2026_13-21-39.pth,2025,10.0
within_model_counterfactual,0.03414928913116455,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/CANDSSASRec-Sep-08-2026_13-21-38.pth,1763.6793593230584,629.0,0.006285196401797512,0.008200088747638778,0.007029346375066942,0.006483329168634852,0.007798765707697247,0.009771330714213752,0.0186360431147376,0.012591921023471342,0.01047647829152816,0.016218394278231074,0.057647606660554324,0.09119928566132292,0.06729006416090032,0.0487886896866391,0.08104480265311093,0.10053389745139518,0.2708774050569155,0.13881333736274806,0.07313387730432155,0.20822000604412208,Toys,1748.858366072328,717.0,0.05136241025875681,0.08299919691368414,0.060260717785833376,0.04230536051800425,0.07324603694541368,0.09076256673718143,0.2522413619421779,0.12622141633927672,0.0626573990127934,0.192001611765891,head,0.6363453269004822,256,,,50,1.0823354721069336,,,30.90271759033203,-0.27194803953170776,,SASRec,9927,,0.01631912961602211,0.018333837389945984,0.02870957925915718,0.02246398665010929,0.016722071915864944,0.02629193104803562,0.008562506176531315,0.01007353700697422,0.009872065857052803,0.00624559260904789,0.01007353700697422,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/SASRec-Sep-08-2026_13-21-39.pth,2025,10.0
within_model_counterfactual,0.012522361241281033,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/CANDSSASRec-Sep-08-2026_13-21-38.pth,3565.802453360593,2661.0,-0.008594002647009935,-0.009808750352422596,-0.008946027403961845,-0.0071605029039504935,-0.009752337914216522,-0.014822386915410171,-0.0204446716074623,-0.01610017889087656,-0.01047789419882443,-0.020189113212369034,0.028613224218037137,0.046173038926573526,0.033359605039492625,0.022450072016563447,0.040107376676132754,0.055456171735241505,0.14592384359826222,0.07411193457705086,0.03628929210324559,0.10835675951955022,Toys,3564.74009711219,2649.0,0.03720722686504707,0.05598178927899612,0.04230563244345447,0.02961057492051394,0.049859714590349276,0.07027855865065168,0.16636851520572452,0.09021211346792742,0.046767186302070024,0.12854587273191925,mid,0.543572723865509,256,,,50,0.93892902135849,,,30.898162841796875,-0.3496600091457367,,SASRec,3913,,0.004344492685049772,0.002300025662407279,0.0010222336277365685,0.0010222336277365685,0.0025555838365107775,0.0012777919182553887,0.017122412100434303,0.021466905251145363,0.017122412100434303,0.013033478520810604,0.021466905251145363,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Toys/seed2025/SASRec-Sep-08-2026_13-21-39.pth,2025,10.0
