angular_smooth_k,angular_smooth_pop_quantile,angular_smooth_sim_threshold,angular_smooth_temperature,angular_smooth_weight,dataset,group,group_mode,hidden,max_len,mean_rank,median_rank,model,n,ndcg@10,ndcg@100,ndcg@20,ndcg@5,ndcg@50,recall@10,recall@100,recall@20,recall@5,recall@50,semantic_embedding_path,semantic_freeze,semantic_fusion_mode,semantic_gate,semantic_weight,tag,temperature
10,0.67,0.0,0.2,0.0,Sports,all,global_item_tertile,256,50,3949.3472105174446,1824.5,SASRec,35598,0.019908212912709326,0.04002446199334332,0.025312879218903548,0.015090254906891941,0.033344040080913566,0.04269902803528288,0.1461598966234058,0.0641047249845497,0.027726276757121186,0.10486544187875724,,True,score,constant,0.1,Sports_seed2023_SASRec,10.0
10,0.67,0.0,0.2,0.0,Sports,head,global_item_tertile,256,50,2037.24973518285,713.0,SASRec,19825,0.029999885399899888,0.060407090234189845,0.03820764313097801,0.02244560978618691,0.050674770381358314,0.06461538461538462,0.22042875157629255,0.09709962168978563,0.04116015132408575,0.16030264817150064,,True,score,constant,0.1,Sports_seed2023_SASRec,10.0
10,0.67,0.0,0.2,0.0,Sports,mid,global_item_tertile,256,50,4689.3408,3245.0,SASRec,6875,0.009907685824708043,0.01986862296121933,0.01230868227779024,0.00792946184490607,0.015803270367032447,0.01978181818181818,0.07243636363636363,0.029381818181818183,0.013672727272727272,0.04727272727272727,,True,score,constant,0.1,Sports_seed2023_SASRec,10.0
10,0.67,0.0,0.2,0.0,Sports,tail,global_item_tertile,256,50,7194.0083686940125,6234.0,SASRec,8484,0.005401873546527992,0.010681689213559506,0.006954167692489596,0.004441729134919209,0.008687686494175404,0.01214049976426214,0.03948609146628949,0.01826968411126827,0.009075907590759076,0.02710985384252711,,True,score,constant,0.1,Sports_seed2023_SASRec,10.0
