angular_smooth_k,angular_smooth_pop_quantile,angular_smooth_sim_threshold,angular_smooth_temperature,angular_smooth_weight,dataset,group,group_mode,hidden,max_len,mean_rank,median_rank,model,n,ndcg@10,ndcg@100,ndcg@20,ndcg@5,ndcg@50,recall@10,recall@100,recall@20,recall@5,recall@50,semantic_embedding_path,semantic_freeze,semantic_fusion_mode,semantic_gate,semantic_weight,tag,temperature
10,0.67,0.0,0.2,0.0,Toys,all,global_item_tertile,256,50,2974.025602719967,1443.0,SASRec,19412,0.04124255360966547,0.066747064399274,0.048468672289232684,0.03332275598027121,0.05896110017931946,0.08041417679785699,0.2106429012981661,0.10910776839068617,0.05589326189985576,0.1624768184628065,,True,score,constant,0.1,Toys_seed2023_SASRec,10.0
10,0.67,0.0,0.2,0.0,Toys,head,global_item_tertile,256,50,1699.6819784426311,639.0,SASRec,9927,0.051652896526242165,0.08529930579773573,0.06171368403224855,0.041441989238281546,0.07555583175647018,0.10144051576508512,0.2718847587387932,0.14133172156744234,0.06970887478593735,0.2116450085625063,,True,score,constant,0.1,Toys_seed2023_SASRec,10.0
10,0.67,0.0,0.2,0.0,Toys,mid,global_item_tertile,256,50,3166.970610784564,2107.0,SASRec,3913,0.03759841716117163,0.059269193954416675,0.04339387875628561,0.029851788232937732,0.05240230740457341,0.07436749297214414,0.18604651162790697,0.09762330692563251,0.050600562228469204,0.1436238180424227,,True,score,constant,0.1,Toys_seed2023_SASRec,10.0
10,0.67,0.0,0.2,0.0,Toys,tail,global_item_tertile,256,50,4793.487277597092,4334.0,SASRec,5227,0.02692166453092705,0.041516634689296374,0.030312201552919048,0.02270072021525127,0.03624639486519499,0.050315668643581404,0.12665008609144826,0.06370767170461067,0.037306294241438685,0.09393533575664817,,True,score,constant,0.1,Toys_seed2023_SASRec,10.0
