angular_smooth_k,angular_smooth_pop_quantile,angular_smooth_sim_threshold,angular_smooth_temperature,angular_smooth_weight,dataset,group,group_mode,hidden,max_len,mean_rank,median_rank,model,n,ndcg@10,ndcg@100,ndcg@20,ndcg@5,ndcg@50,recall@10,recall@100,recall@20,recall@5,recall@50,semantic_embedding_path,semantic_freeze,semantic_fusion_mode,semantic_gate,semantic_weight,tag,temperature
10,0.67,0.0,0.2,0.0,Toys,all,global_item_tertile,256,50,2823.5156604162376,1209.0,CANDSSASRec,19412,0.050849135643789414,0.07991003580884629,0.05951427831996029,0.04206203156621414,0.07131561600728578,0.09293220688234081,0.23985163816196167,0.1271378528745106,0.06552647846692768,0.18679167525242119,,True,score,constant,0.1,Toys_seed2024_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Toys,head,global_item_tertile,256,50,1889.7695174775863,534.0,CANDSSASRec,9927,0.06817803210953831,0.1048822714449888,0.07911169286720832,0.05728752467116771,0.09412766087611685,0.12068097108894933,0.30643699002719854,0.16399717940969075,0.08663241664148283,0.23995164702326988,,True,score,constant,0.1,Toys_seed2024_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Toys,mid,global_item_tertile,256,50,2986.9739330437005,1717.0,CANDSSASRec,3913,0.044361387138259926,0.06936246399924233,0.05267050233455629,0.03623619677869815,0.06240977449965992,0.08458982877587529,0.2087912087912088,0.1170457449527217,0.059289547661640685,0.16585739841553795,,True,score,constant,0.1,Toys_seed2024_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Toys,tail,global_item_tertile,256,50,4207.926726611823,3340.0,CANDSSASRec,5227,0.026151518747626248,0.04565371816680414,0.03134679931493658,0.020283654363424754,0.039365601836435934,0.052611440596900705,0.1524775205662904,0.07308207384733116,0.034436579299789556,0.11383202601874881,,True,score,constant,0.1,Toys_seed2024_CANDSSASRec,10.0
