angular_smooth_k,angular_smooth_pop_quantile,angular_smooth_sim_threshold,angular_smooth_temperature,angular_smooth_weight,dataset,group,group_mode,hidden,max_len,mean_rank,median_rank,model,n,ndcg@10,ndcg@100,ndcg@20,ndcg@5,ndcg@50,recall@10,recall@100,recall@20,recall@5,recall@50,semantic_embedding_path,semantic_freeze,semantic_fusion_mode,semantic_gate,semantic_weight,tag,temperature
10,0.67,0.0,0.2,0.0,Sports,all,global_item_tertile,256,50,3869.764677790887,1759.0,SASRec,35598,0.020134629001402685,0.04015162612003935,0.02532587184241919,0.014973082886831635,0.03312000898711391,0.043766503736164954,0.14742401258497667,0.06441373110848925,0.027754368222933874,0.1039103320411259,,True,score,constant,0.1,Sports_seed2025_SASRec,10.0
10,0.67,0.0,0.2,0.0,Sports,head,global_item_tertile,256,50,2019.9979319041613,678.0,SASRec,19825,0.031032359695610474,0.06151211166454634,0.03936183050135537,0.02283112694969053,0.051118214121952235,0.06784363177805801,0.2248171500630517,0.10098360655737705,0.042421185372005045,0.16050441361916773,,True,score,constant,0.1,Sports_seed2025_SASRec,10.0
10,0.67,0.0,0.2,0.0,Sports,mid,global_item_tertile,256,50,4468.093818181818,2919.0,SASRec,6875,0.008212306574466637,0.01799849158610045,0.01008430864584433,0.006514881843140806,0.013718188545074554,0.01658181818181818,0.06894545454545455,0.024,0.0112,0.04247272727272727,,True,score,constant,0.1,Sports_seed2025_SASRec,10.0
10,0.67,0.0,0.2,0.0,Sports,tail,global_item_tertile,256,50,7103.724186704385,6096.5,SASRec,8484,0.005313105201201909,0.010148555306116077,0.006114153019435219,0.004195532785976508,0.008401100743539669,0.01166902404526167,0.03736445073078736,0.01485148514851485,0.00825082508250825,0.02652050919377652,,True,score,constant,0.1,Sports_seed2025_SASRec,10.0
