angular_smooth_k,angular_smooth_pop_quantile,angular_smooth_sim_threshold,angular_smooth_temperature,angular_smooth_weight,dataset,group,group_mode,hidden,max_len,mean_rank,median_rank,model,n,ndcg@10,ndcg@100,ndcg@20,ndcg@5,ndcg@50,recall@10,recall@100,recall@20,recall@5,recall@50,semantic_embedding_path,semantic_freeze,semantic_fusion_mode,semantic_gate,semantic_weight,tag,temperature
10,0.67,0.0,0.2,0.0,Sports,all,global_item_tertile,256,50,3762.6895331198384,1549.5,CANDSSASRec,35598,0.027308233667901537,0.05008636876284749,0.033130915118442746,0.02113803428393292,0.04251763608195749,0.05505927299286477,0.17256587448733074,0.07817854935670543,0.035732344513736726,0.12582167537502106,,True,score,constant,0.1,Sports_seed2025_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Sports,head,global_item_tertile,256,50,2108.286254728878,592.0,CANDSSASRec,19825,0.04311037487386713,0.07602883935157408,0.051913643437483406,0.03346414406908059,0.06567724542507196,0.0860529634300126,0.2546784363177806,0.12095838587641866,0.05583858764186633,0.19076923076923077,,True,score,constant,0.1,Sports_seed2025_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Sports,mid,global_item_tertile,256,50,4270.634472727273,2526.0,CANDSSASRec,6875,0.01206879384538733,0.025582041631485256,0.01482314132881497,0.009245606361515573,0.020337478339764577,0.025454545454545455,0.09716363636363637,0.03650909090909091,0.01658181818181818,0.06458181818181818,,True,score,constant,0.1,Sports_seed2025_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Sports,tail,global_item_tertile,256,50,6705.642503536068,5437.0,CANDSSASRec,8484,0.0040643991688478626,0.01176641664997969,0.005692743823976127,0.0030034823826616775,0.008447814133379309,0.009311645450259311,0.05021216407355021,0.015794436586515793,0.006011315417256012,0.029820839226779822,,True,score,constant,0.1,Sports_seed2025_CANDSSASRec,10.0
