angular_smooth_k,angular_smooth_pop_quantile,angular_smooth_sim_threshold,angular_smooth_temperature,angular_smooth_weight,dataset,group,group_mode,hidden,max_len,mean_rank,median_rank,model,n,ndcg@10,ndcg@100,ndcg@20,ndcg@5,ndcg@50,recall@10,recall@100,recall@20,recall@5,recall@50,semantic_embedding_path,semantic_freeze,semantic_fusion_mode,semantic_gate,semantic_weight,tag,temperature
10,0.67,0.0,0.2,0.0,Toys,all,global_item_tertile,256,50,2704.9469400370904,1099.5,CANDSSASRec,19412,0.0495411150780241,0.07920090765801464,0.05860377377615666,0.03976062730241175,0.07063249220329364,0.09772305790232845,0.2475273026993612,0.1337317123428807,0.06753554502369669,0.19472491242530393,,True,score,constant,0.1,Toys_seed2025_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Toys,head,global_item_tertile,256,50,1735.6294953158053,498.0,CANDSSASRec,9927,0.06679810282939329,0.10399647264598656,0.07831330027801296,0.055285000503584536,0.09339228670449491,0.12702729928477888,0.3144958194822202,0.1727611564420268,0.09146771431449582,0.249118565528357,,True,score,constant,0.1,Toys_seed2025_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Toys,mid,global_item_tertile,256,50,2862.4804497827754,1679.0,CANDSSASRec,3913,0.044971216209131915,0.0706708201240483,0.05383194338726486,0.03490494606204106,0.0632233959769745,0.09148990544339382,0.22029133657040634,0.1267569639662663,0.06056733963710708,0.17429082545361615,,True,score,constant,0.1,Toys_seed2025_CANDSSASRec,10.0
10,0.67,0.0,0.2,0.0,Toys,tail,global_item_tertile,256,50,4137.622919456668,3321.0,CANDSSASRec,5227,0.023458004607018076,0.04372299911139672,0.028612192502114192,0.016536453654977367,0.03761613929154652,0.05318538358523053,0.157069064472929,0.07365601683566099,0.0317581786875837,0.11957145590204707,,True,score,constant,0.1,Toys_seed2025_CANDSSASRec,10.0
